order,record_id,class_code,pair_id,source_id,split,materialized_relpath,rubbing_relpath,glyph_relpath,content_sha256
1,d0986a00303bcd616ae8,080002,080002:h11158,h11158,test,test/080002/d0986a00303bcd616ae8.bmp,拓片数据/080002/080002_h11158_1.bmp,字模数据/080002/080002h11158.bmp,395c39d1723620fdc6abe09064eac735f480b2e30438a018004fefc65f70c78f
2,fe32521e989d8a2b1595,150026,150026:h38872,h38872,test,test/150026/fe32521e989d8a2b1595.bmp,拓片数据/150026/150026_h38872_1.bmp,字模数据/150026/150026h38872.bmp,50fa86e28ad316c6e9332bfcd60e41c597d79b83acd38009bb56e2a6cf646340
3,27b73dc555214def2adf,010004,010004:h19279,h19279,test,test/010004/27b73dc555214def2adf.bmp,拓片数据/010004/010004_h19279_1.bmp,字模数据/010004/010004h19279.bmp,0011007b4e9e39d33552aa5f79fc685bd00347960fd11261d4a00161368cfe5a
4,1f22e81b90c0af88d0e3,150042,150042:b11218,b11218,test,test/150042/1f22e81b90c0af88d0e3.bmp,拓片数据/150042/150042_b11218_1.bmp,字模数据/150042/150042b11218.bmp,0687e19de96d7cd71badcb05da24fb01ce34aac6f8eba89160f933c4881682c8
5,09f5dd7ca4f69e6721f9,064028,064028:h00598,h00598,test,test/064028/09f5dd7ca4f69e6721f9.bmp,拓片数据/064028/064028_h00598_1.bmp,字模数据/064028/064028h00598.bmp,b133963cc264c5a550caf1b5b05dd14b1bea7f73625d89e3bb998739413e85ce
6,3c10e55fab51c967d8c1,077001,077001:h32316,h32316,test,test/077001/3c10e55fab51c967d8c1.bmp,拓片数据/077001/077001_h32316_1.bmp,字模数据/077001/077001h32316.bmp,0da6beb284db877f2ee259dfce87a6f8482996b1a2b177229dd64d96ed4a751e
7,813127817850f4b37f17,048008,048008:h10411,h10411,test,test/048008/813127817850f4b37f17.bmp,拓片数据/048008/048008_h10411_6.bmp,字模数据/048008/048008h10411.bmp,1ed030695080e90b1fee5e12d205eb96d1ea40e97271819c98b8a37fde48a891
8,4ea10820f78de357ca57,089008,089008:h31180,h31180,test,test/089008/4ea10820f78de357ca57.bmp,拓片数据/089008/089008_h31180_1.bmp,字模数据/089008/089008h31180.bmp,02f29b87993a5fd19b93eb92cb9cd0910db48244ee8fd2d7ff4ce908b63af08d
9,e709975fac0be4043c75,041000,041000:h17852,h17852,test,test/041000/e709975fac0be4043c75.bmp,拓片数据/041000/041000_h17852_1.bmp,字模数据/041000/041000h17852.bmp,32f7c644185a0083427d45e426cd70b5dd37772bc90a93513be5fd743135acb2
10,64300ae0c759552a30f4,048106,048106:h20167,h20167,test,test/048106/64300ae0c759552a30f4.bmp,拓片数据/048106/048106_h20167_1.bmp,字模数据/048106/048106h20167.bmp,e762e5304ec98bf9bb87f363262b399a2801ef947de9e462466dc43ea53a95d5
11,4b46d7427fb87c5d49ad,048008,048008:h22226,h22226,test,test/048008/4b46d7427fb87c5d49ad.bmp,拓片数据/048008/048008_h22226_1.bmp,字模数据/048008/048008h22226.bmp,e19e4bea9ee1d5a6667c5a6cebd4a9617a5a6090e541f68c6cf593c7e1052d77
12,3e862c51877fd8dde41e,010007,010007:y00526,y00526,test,test/010007/3e862c51877fd8dde41e.bmp,拓片数据/010007/010007_y00526_1.bmp,字模数据/010007/010007y00526.bmp,d28918f86f518e1dafb8862f445114ab46eba7464520b7be6afac13fa1e2baa7
13,c945d7b52ede60c2ac2a,037000,037000:b12881,b12881,test,test/037000/c945d7b52ede60c2ac2a.bmp,拓片数据/037000/037000_b12881_1.bmp,字模数据/037000/037000b12881.bmp,bd008cfe87779a42f9fc5f83461dbe8f43987f0591f9c58ee117160e5ab02310
14,736d32658e6efd7d1043,041000,041000:h10425,h10425,test,test/041000/736d32658e6efd7d1043.bmp,拓片数据/041000/041000_h10425_1.bmp,字模数据/041000/041000h10425.bmp,c8def812f7e7086d7288a2e6d9f53a06ec8ff59f50924d7def900f0fa3b13577
15,44775e9f8c24d570bbc8,004002,004002:h02576,h02576,test,test/004002/44775e9f8c24d570bbc8.bmp,拓片数据/004002/004002_h02576_1.bmp,字模数据/004002/004002h02576.bmp,4a033ae006dcaae83945b036c17fd2aec801b25d98fe93809e832bde671a02b0
16,828345733671f5481a02,041000,041000:h20731,h20731,test,test/041000/828345733671f5481a02.bmp,拓片数据/041000/041000_h20731_1.bmp,字模数据/041000/041000h20731.bmp,62ff3a1c52f27a6c194ebe4e336ee3502eeaeb7d43290f1e9e7d3c06e7e7148b
17,024d12e8bf3574106e85,096023,096023:h32542,h32542,test,test/096023/024d12e8bf3574106e85.bmp,拓片数据/096023/096023_h32542_1.bmp,字模数据/096023/096023h32542.bmp,2a15a34f0017d5487f1a2b6813611530bd576627abbe3b9098cf818512867068
18,2c2a72d3f0ff6264cf76,020000,020000:b09248,b09248,test,test/020000/2c2a72d3f0ff6264cf76.bmp,拓片数据/020000/020000_b09248_1.bmp,字模数据/020000/020000b09248.bmp,85fbc7d535633099348f9c8a3c01832f7e5259993f5862286b85ab2dec8e0d34
19,78c6bbb51f91cade3936,064005,064005:t01102,t01102,test,test/064005/78c6bbb51f91cade3936.bmp,拓片数据/064005/064005_t01102_1.bmp,字模数据/064005/064005t01102.bmp,41e1bef22af526a3ff46ff03938383e3abb869d5181557e974bff01392c7675a
20,a96ad0394ee9dd0c32ae,003043,003043:t00295,t00295,test,test/003043/a96ad0394ee9dd0c32ae.bmp,拓片数据/003043/003043_t00295_1.bmp,字模数据/003043/003043t00295.bmp,454e6609c1ed6c775609c1d585801d57113afaa8e31ac4acb2616276e1004131
21,768696251fa3ee9320b3,060016,060016:y00429,y00429,test,test/060016/768696251fa3ee9320b3.bmp,拓片数据/060016/060016_y00429_1.bmp,字模数据/060016/060016y00429.bmp,78f9195299b923cda8d4d37e46819f0032bcb9afbccd24d1496fb111b73ebb76
22,c6d517cae0174b0d66f1,031000,031000:h28243,h28243,test,test/031000/c6d517cae0174b0d66f1.bmp,拓片数据/031000/031000_h28243_1.bmp,字模数据/031000/031000h28243.bmp,d206a89be74ade85332f29ff63656d28fe0203eec56a8e725da8648b38ce6a71
23,e043c156a3bbf2c31b2c,005000,005000:b02533,b02533,test,test/005000/e043c156a3bbf2c31b2c.bmp,拓片数据/005000/005000_b02533_1.bmp,字模数据/005000/005000b02533.bmp,dbd78d26a6d845a495b79e9c7a37d61c0b4bd11574157239867349e4fc4d51b2
24,d65e356aae5322242c4a,005000,005000:h27641,h27641,test,test/005000/d65e356aae5322242c4a.bmp,拓片数据/005000/005000_h27641_1.bmp,字模数据/005000/005000h27641.bmp,9d345d0383fc7c37689e4166ac31b4deb069d9d6b4a89675a8171db0736093b8
25,6df9eb1ec53096af7049,030102,030102:h13547,h13547,test,test/030102/6df9eb1ec53096af7049.bmp,拓片数据/030102/030102_h13547_1.bmp,字模数据/030102/030102h13547.bmp,15b6f4db79e4f72570b3e3512de1322af251081e537463962bdef15062d82852
26,c46ab36fc077762ee322,002000,002000:h24868,h24868,test,test/002000/c46ab36fc077762ee322.bmp,拓片数据/002000/002000_h24868_1.bmp,字模数据/002000/002000h24868.bmp,7f4701569ba20dcd3e6074a3eee7604b0e5c9568e086ed033468be8000304143
27,57f4aa214c4589c8e84b,003043,003043:t02668,t02668,test,test/003043/57f4aa214c4589c8e84b.bmp,拓片数据/003043/003043_t02668_1.bmp,字模数据/003043/003043t02668.bmp,79345f3374906361cde2759d43f41e42c923f9d5e81d578a55c8fcb6ddf83943
28,07315f66b0eb0a6d3a75,047008,047008:h37400,h37400,test,test/047008/07315f66b0eb0a6d3a75.bmp,拓片数据/047008/047008_h37400_1.bmp,字模数据/047008/047008h37400.bmp,1d1ecd2ea7ee9093bf058da14dda5f08c38e731d9df9b4b5d8700dbbdd6ed3a8
29,3e6823696d1412fdbba3,047000,047000:h09174,h09174,test,test/047000/3e6823696d1412fdbba3.bmp,拓片数据/047000/047000_h09174_1.bmp,字模数据/047000/047000h09174.bmp,26ec3e73eec7be4b2363b055578788fc8467059da7124e42693aeaca118366d9
30,35f579366283c490bc9b,093037,093037:h21208,h21208,test,test/093037/35f579366283c490bc9b.bmp,拓片数据/093037/093037_h21208_1.bmp,字模数据/093037/093037h21208.bmp,da3a703254f384de58bb8ef2e2262464f7ef9775524202c22deb24911015f585
31,850e2dcfec70bce03c4f,078057,078057:h06836,h06836,test,test/078057/850e2dcfec70bce03c4f.bmp,拓片数据/078057/078057_h06836_1.bmp,字模数据/078057/078057h06836.bmp,8b4fc8c36294e134bc844f84a08500f5812989a6394c8d4fb833f40efcc89fb3
32,24bdd1894ce469868afd,151049,151049:t00077,t00077,test,test/151049/24bdd1894ce469868afd.bmp,拓片数据/151049/151049_t00077_1.bmp,字模数据/151049/151049t00077.bmp,9b249dc95a5a428871fc5eaaf3fbbc67ab40d5ca6d8e0895c899f8d026682570
33,6f73416a47bed0934334,075042,075042:h34715,h34715,test,test/075042/6f73416a47bed0934334.bmp,拓片数据/075042/075042_h34715_1.bmp,字模数据/075042/075042h34715.bmp,2271fa6e4ee63475f9bf253b94e1b7cb296a053885a35d608fd662130bc758cc
34,8d258a54580b7116f855,150042,150042:b11577,b11577,test,test/150042/8d258a54580b7116f855.bmp,拓片数据/150042/150042_b11577_1.bmp,字模数据/150042/150042b11577.bmp,54f8c67422521c36ea6ef20f179ba397520e4f1bf3abff5849491c3a820686ce
35,79ef69a18991b2979fcc,003049,003049:h20323,h20323,test,test/003049/79ef69a18991b2979fcc.bmp,拓片数据/003049/003049_h20323_1.bmp,字模数据/003049/003049h20323.bmp,fb802448d7e34e593336d805157ad1b9d74a8fbaeccce4b108c257774f9a5f3d
36,f261939fc64138eba0e1,051005,051005:h00766正,h00766,test,test/051005/f261939fc64138eba0e1.bmp,拓片数据/051005/051005_h00766正_3.bmp,字模数据/051005/051005h00766 正.bmp,c90bdd731e18b859bfcd247bb99ca5aee9d255d05a8ba67a2ad5752fa9aa3bda
37,9d9394c1ac9febaef820,004002,004002:h19951,h19951,test,test/004002/9d9394c1ac9febaef820.bmp,拓片数据/004002/004002_h19951_1.bmp,字模数据/004002/004002h19951.bmp,4bed54459488e0cf1f3b5354f04786b145c7bf291ec170cf5f79bec65f00acce
38,ba2cd7e78a9ae26d5b81,150015,150015:h33404,h33404,test,test/150015/ba2cd7e78a9ae26d5b81.bmp,拓片数据/150015/150015_h33404_1.bmp,字模数据/150015/150015h33404.bmp,fe415a28ac91863cdd787d0bc06d7d48730f53bccfbfe58a773684fd24754eab
39,4df394506e1d715a167b,004000,004000:b00056,b00056,test,test/004000/4df394506e1d715a167b.bmp,拓片数据/004000/004000_b00056_1.bmp,字模数据/004000/004000b00056.bmp,f794b2cb0d715a9b49a57f3905894214dc4f4ef870a2adb7a9429c4ee6ea3708
40,802f02b3f31c4612cfe3,003057,003057:h00795正,h00795,test,test/003057/802f02b3f31c4612cfe3.bmp,拓片数据/003057/003057_h00795正_1.bmp,字模数据/003057/003057h00795 正.bmp,9e673660657472f8ec22720b6131fc9d19b4dbfbc5db13958f2932609e652d00
41,87fb5f31d6d404da7a21,093000,093000:b11776,b11776,test,test/093000/87fb5f31d6d404da7a21.bmp,拓片数据/093000/093000_b11776_1.bmp,字模数据/093000/093000b11776.bmp,7b70d781df367d8dba28cb5baad628890f1cdb52989ac22a28a41845297d31b7
42,ad36ddfab12d68d2be24,150059,150059:b11531,b11531,test,test/150059/ad36ddfab12d68d2be24.bmp,拓片数据/150059/150059_b11531_1.bmp,字模数据/150059/150059b11531.bmp,e94dc0d0a296fb2b54de58adb2cc60b3fac171db5bdc0226160cb902510b0fa9
43,0136260b6f8715027c2a,038000,038000:h30509,h30509,test,test/038000/0136260b6f8715027c2a.bmp,拓片数据/038000/038000_h30509_1.bmp,字模数据/038000/038000h30509.bmp,3c483e1891b0916cf84b0622ad4ae1dd460ea067d0b1b0138d021f59cfccb6ee
44,441d2e9be4f73183c9f3,001109,001109:h27220,h27220,test,test/001109/441d2e9be4f73183c9f3.bmp,拓片数据/001109/001109_h27220_2.bmp,字模数据/001109/001109h27220.bmp,6fc2c38390b646bb89b657f0c31f954aed57db60670f7b68dc3aed9191a7b013
45,1e28a13562d05feba961,093037,093037:b10463甲,b10463,test,test/093037/1e28a13562d05feba961.bmp,拓片数据/093037/093037_b10463甲_3.bmp,字模数据/093037/093037b10463 甲.bmp,609ab4e6e6144da42be541998d1fc3cc3d26c5e215bc259fbb22c2b00727fd53
46,efe26baa62ecbe0bf9e1,115032,115032:h17441,h17441,test,test/115032/efe26baa62ecbe0bf9e1.bmp,拓片数据/115032/115032_h17441_1.bmp,字模数据/115032/115032h17441.bmp,0bfc8f41b66ae8c84b1af2f68e273ad4719ebafa00a2f8ce8fdfaa20148f39f3
47,380f48c1821bb586dd58,006102,006102:h28089正,h28089,test,test/006102/380f48c1821bb586dd58.bmp,拓片数据/006102/006102_h28089正_2.bmp,字模数据/006102/006102h28089 正.bmp,bc2a3ca67d2482e2a448a3499d3ab670b77a717888808491e8e166ae7c8bd5d4
48,a4257ac134b8df74ffe4,050000,050000:h08606,h08606,test,test/050000/a4257ac134b8df74ffe4.bmp,拓片数据/050000/050000_h08606_1.bmp,字模数据/050000/050000h08606.bmp,310b7679399db0ea4d36b7d16c61b65647a5340bcf5fc23161030103808f140b
49,f0a7b373022c446c5dfc,010007,010007:b08299,b08299,test,test/010007/f0a7b373022c446c5dfc.bmp,拓片数据/010007/010007_b08299_1.bmp,字模数据/010007/010007b08299.bmp,27659fd012e6decbfe764f4c4f49407d12c701d79a75807e4463fefe8c9ae382
50,c909f4786ebe1b44d50f,150075,150075:h27712,h27712,test,test/150075/c909f4786ebe1b44d50f.bmp,拓片数据/150075/150075_h27712_1.bmp,字模数据/150075/150075h27712.bmp,cba6bb06eb068c791f33b9871bb47b8d064393d78c2db5543b8a9e868f57b17f
51,56637c602049660b06c7,088013,088013:t00009,t00009,test,test/088013/56637c602049660b06c7.bmp,拓片数据/088013/088013_t00009_2.bmp,字模数据/088013/088013t00009.bmp,11486ed5b161fb99c11d0c5d320951997caa886371ce7179b511030484da081e
52,28014ca953cb2fd659ef,014002,014002:h01034,h01034,test,test/014002/28014ca953cb2fd659ef.bmp,拓片数据/014002/014002_h01034_1.bmp,字模数据/014002/014002h01034.bmp,2b0fd187ff58409c513186ffd1a43445c3c19aae4158833720710428226e017e
53,acd48e6d302695d8f84a,058000,058000:h06167,h06167,test,test/058000/acd48e6d302695d8f84a.bmp,拓片数据/058000/058000_h06167_2.bmp,字模数据/058000/058000h06167.bmp,db561c3a4eeac27835d8d70cb9b2d3b0fa2b845059490398a67f54e5680f108c
54,4d631da3796c0f1d6111,001109,001109:h28442,h28442,test,test/001109/4d631da3796c0f1d6111.bmp,拓片数据/001109/001109_h28442_2.bmp,字模数据/001109/001109h28442.bmp,f1196426a42650ef856367dc1619bb8f0a2f10793dfc66399697010964e0d3b2
55,30e8eec845e3a27b6d3c,078048,078048:h15401,h15401,test,test/078048/30e8eec845e3a27b6d3c.bmp,拓片数据/078048/078048_h15401_1.bmp,字模数据/078048/078048h15401.bmp,e39779a919e3202742132df09b9420f13dea8426dad51697d457e13de9adfe83
